Dia ,Cambio 
28/06/2010,12.65670
29/06/2010,12.83940
30/06/2010,12.84410
01/07/2010,13.03250
02/07/2010,13.05900
05/07/2010,13.09530
06/07/2010,12.93080
07/07/2010,12.89750
08/07/2010,12.82320
09/07/2010,12.78590
12/07/2010,12.82330
13/07/2010,12.71400
14/07/2010,12.71760
15/07/2010,12.77950
16/07/2010,12.90130
19/07/2010,12.91620
20/07/2010,12.85490
21/07/2010,12.77980
22/07/2010,12.75600
23/07/2010,12.77490
26/07/2010,12.69750
27/07/2010,12.64690
28/07/2010,12.67980
29/07/2010,12.70380
30/07/2010,12.64550
02/08/2010,12.57280
03/08/2010,12.60480
04/08/2010,12.55350
05/08/2010,12.53670
06/08/2010,12.65500
09/08/2010,12.64610
10/08/2010,12.69270
11/08/2010,12.74320
12/08/2010,12.72580
13/08/2010,12.72560
16/08/2010,12.64580
17/08/2010,12.59440
18/08/2010,12.60730
19/08/2010,12.72260
20/08/2010,12.76830
23/08/2010,12.84920
24/08/2010,12.93600
25/08/2010,13.04530
26/08/2010,12.98400
27/08/2010,13.01480
30/08/2010,13.13670
31/08/2010,13.16760
01/09/2010,13.05380
02/09/2010,13.05500
03/09/2010,12.95260
06/09/2010,12.93950
07/09/2010,13.05660
08/09/2010,13.00340
09/09/2010,12.98530
10/09/2010,12.96160
13/09/2010,12.87290
14/09/2010,12.83550
15/09/2010,12.77930
20/09/2010,12.76230
21/09/2010,12.75940
22/09/2010,12.68860
23/09/2010,12.64220
24/09/2010,12.54910
27/09/2010,12.51680
28/09/2010,12.50110
29/09/2010,12.48010
30/09/2010,12.59980
01/10/2010,12.55110
04/10/2010,12.58750
05/10/2010,12.50990
06/10/2010,12.47790
07/10/2010,12.52770
08/10/2010,12.48950
11/10/2010,12.42240
12/10/2010,12.43200
13/10/2010,12.36830
14/10/2010,12.41010
15/10/2010,12.42760
18/10/2010,12.41350
19/10/2010,12.48180
20/10/2010,12.41170
21/10/2010,12.36130
22/10/2010,12.38770
25/10/2010,12.32050
26/10/2010,12.38590
27/10/2010,12.47760
28/10/2010,12.40230
29/10/2010,12.33870
01/11/2010,12.34520
03/11/2010,12.30410
04/11/2010,12.23810
05/11/2010,12.20550
